28
 	111
a	1010
b	1101101
c	110101
d	10011
e	001
f	110100
g	010111
h	0000
i	0110
j	010110010
k	11011001
l	10110
m	101111
n	0111
o	1000
p	100100
q	11011000
r	0001
s	0100
t	1100
u	110111
v	0101101
w	101110
x	01011000
y	100101
z	010110011
'	01010
52 0 0
47 0 0
33 0 0
37 0 0
40 0 0
49 0 0
37 0 0
34 0 0
43 0 0
45 0 0
29 0 0
31 0 0
41 0 0
36 0 0
45 0 0
46 0 0
35 0 0
31 0 0
43 0 0
44 0 0
48 0 0
38 0 0
32 0 0
36 0 0
30 0 0
35 0 0
29 0 0
39 0 0
30 11 27
32 25 29
33 18 12
34 30 23
38 31 3
39 32 8
40 17 26
41 24 14
42 7 4
42 33 22
44 28 34
46 35 5
47 13 36
48 37 38
49 9 19
50 20 39
50 10 15
51 16 40
51 2 41
52 21 42
53 43 6
53 44 45
54 46 47
54 48 1
55 49 50
55 51 52
0 53 54
